model_method,hyperparameter,compression_ratio,word_accuracy,character_accuracy,semantic_similarity,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,bert_score_f1,bits_per_character,quantization_bits,codebook_size
distilbert-base-uncased_predictive_masking,0.4,1.5881751040009626,0.7004113027492801,0.16465151747490755,0.9517191863059997,0.9132129917489803,0.8205734882225176,0.9070994362294544,0.9022472161054611,5.23034172396107,,
distilbert-base-uncased_predictive_masking,0.5,1.8791392175938817,0.6541540040129316,0.1543525541122165,0.8884071618318558,0.8250881321667294,0.6666749198901889,0.8063654803538657,0.89281274497509,4.424019425541934,,
distilbert-base-uncased_predictive_masking,0.6,2.2866862781790083,0.5906595536824486,0.12632375892034592,0.7996828997135162,0.7161543575857178,0.5034762770217068,0.6856774995497525,0.8821266329288483,3.638220942200295,,
distilbert-base-uncased_predictive_masking,0.7,2.9159889400591323,0.5159977109130104,0.10948100568051178,0.7019911193847657,0.6194015233294595,0.3665973075799825,0.5755133107229711,0.8689381349086761,2.856583720476037,,
distilbert-base-uncased_predictive_masking,0.8,4.074059257427333,0.3953601741073502,0.09871990286904139,0.5841005302965641,0.5030633545016154,0.22924568710536472,0.4449124367634051,0.8477577221393585,2.0510055192982417,,
distilbert-base-uncased_predictive_masking,0.9,6.712053988147028,0.2656601160418347,0.09209176188758392,0.4286293822526932,0.37341306247030415,0.11094021278530895,0.3183040524387455,0.821064904332161,1.2626255212047135,,
distilbert-base-uncased_lsq,16.0,0.0026130143258636333,0.5942328270891367,0.14980182054282104,0.7744397521018982,0.7980630380365303,0.6425205896689785,0.7969175193040552,0.8886182457208633,3180.7536010043254,16.0,
distilbert-base-uncased_lsq,8.0,0.005225493425996236,0.5925547166553006,0.14265563378312587,0.7728452575206757,0.7973248432678984,0.6411941127251606,0.7964015467576453,0.8884721046686173,1590.536980815702,8.0,
distilbert-base-uncased_lsq,4.0,0.010448846793872242,0.5705827695672815,0.12636223999576943,0.7437683263421059,0.770132261760174,0.5948355314777113,0.7693891129435774,0.8820245051383973,795.428670721391,4.0,
distilbert-base-uncased_vq,128.0,4.587429904118202,0.2273125433757089,0.08235711896968839,0.3253039626777172,0.3255901466215245,0.10998465440046708,0.3216432733998718,0.7896933495998383,1.8117702378451106,,128.0
distilbert-base-uncased_vq,256.0,4.0140011661034265,0.27000110581545594,0.08577700646251235,0.3909322388470173,0.37435661426586525,0.14188386719525659,0.3715445853601836,0.805061399936676,2.070594557537269,,256.0
