model_method,masking_probability,compression_ratio,word_accuracy,character_accuracy,semantic_similarity,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,bert_score_f1,bits_per_character,quantization_bits
distilbert-base-uncased_predictive_masking,0.1,1.2037587435445378,0.19348362214258685,0.2839068090684021,0.9661317183574041,0.9392202720863883,0.8839649330163754,0.9388388516267799,0.9454456013441085,6.815557620890426,
distilbert-base-uncased_predictive_masking,0.2,1.3218075625861632,0.16870741189187424,0.2192602911835376,0.9171131685376168,0.8679613808527815,0.7543288050350924,0.865429332208194,0.9319201376040777,6.230004019987894,
distilbert-base-uncased_predictive_masking,0.3,1.4560939892058353,0.15941922890166435,0.19170430162749438,0.8706235234936078,0.7931697868921471,0.6300070134952166,0.7858182437532976,0.9169383736451467,5.661015420038173,
distilbert-base-uncased_predictive_masking,0.4,1.6265772800548755,0.1463893326479004,0.15000802906864938,0.8094391505916914,0.7110773485447983,0.4978249386349551,0.6956050674855535,0.9001290160417557,5.071738092169706,
distilbert-base-uncased_predictive_masking,0.5,1.826651724988649,0.12087829808496768,0.136638751935542,0.7503115224838256,0.6408684387330509,0.3987519803973925,0.6180845669245555,0.8808290235201518,4.528739620409792,
distilbert-base-uncased_predictive_masking,0.6,2.1145229604634967,0.10387006037639486,0.10400392110809835,0.6601983328660329,0.5513253887709156,0.28312141466701246,0.5161010075715429,0.8570948058366775,3.9287198045824336,
distilbert-base-uncased_predictive_masking,0.7,2.480211514775253,0.059470885028863905,0.08429985909562342,0.5560411734879017,0.4526783614966325,0.1776472404302966,0.4085242511366028,0.8330094369252522,3.343314398525502,
distilbert-base-uncased_predictive_masking,0.8,2.992171439360368,0.039117407918707436,0.0612531975619677,0.4348672312311828,0.3584125785242498,0.10173872634994328,0.31038142772498317,0.8084055197238923,2.7823156257614485,
distilbert-base-uncased_predictive_masking,0.9,3.79419844208817,0.008955951064230512,0.02523794491271864,0.2879252093719939,0.22390627683081574,0.042963488180378984,0.18951986520081573,0.7808397563298545,2.1953903952375327,
distilbert-base-uncased_lsq,0.1,0.0033051250666462535,0.09916464520865789,0.09317794789229766,0.4500137047469616,0.5426731630584642,0.2770465453558559,0.5397915903768308,0.860773246884346,2479.764684055383,14.0
distilbert-base-uncased_lsq,0.2,0.003559331062376665,0.09916464520865789,0.09294357289229767,0.4500355066359043,0.5426731630584642,0.2770465453558559,0.5397915903768308,0.8609205597639084,2302.6618596350013,13.0
distilbert-base-uncased_lsq,0.3,0.004206378702726018,0.09935695290096559,0.09317662124135427,0.44913789466023446,0.5423751589744118,0.2767705183868297,0.5394935862927782,0.8608591395616532,1948.456210794238,11.0
distilbert-base-uncased_lsq,0.4,0.004626942601450598,0.09941717046118315,0.09261343312680761,0.45038632102310655,0.5424906990137297,0.2770820349901462,0.5396123720315443,0.8610838925838471,1771.3533863738564,10.0
distilbert-base-uncased_lsq,0.5,0.005140946884167966,0.09724976176223114,0.08965850166561222,0.44992504924535753,0.5429660424199475,0.2766482240287672,0.5396499712962495,0.860916520357132,1594.2505619534745,9.0
distilbert-base-uncased_lsq,0.6,0.006609419882591968,0.09926565015198775,0.09384268454141682,0.451761890873313,0.5415358633881734,0.2769417262840668,0.5381962743329741,0.8604849666357041,1240.0449131127111,7.0
distilbert-base-uncased_lsq,0.7,0.007710667054583798,0.09791685436152442,0.09723678523691622,0.45044243432581427,0.5409724679679514,0.2772811215119808,0.5376567140661082,0.8604256856441498,1062.9420886923294,6.0
distilbert-base-uncased_lsq,0.8,0.011564306232080657,0.0967552804789607,0.08538321436399629,0.42259023904800413,0.51767779934602,0.24928885119628358,0.5125179889128099,0.8514173394441604,708.736439851566,4.0
distilbert-base-uncased_lsq,0.9,0.015416816660833377,0.08359457811159161,0.07989724171807727,0.33630974888801574,0.44686908197567143,0.18510675756634093,0.43986653933355685,0.8338516449928284,531.6336154311845,3.0
