type,sparsity,size_mb,pruning_type,model_name,variant_key,mean_tcm,std_tcm,mean_pcm,std_pcm,mean_crease_density,sst2,mrpc,rte,average,avg_latency_ms,throughput_samples_per_sec,memory_footprint_mb,compression_ratio,total_parameters,nonzero_parameters
pruned,0.9,417.7638931274414,structured,bert-base-uncased,structured_0.9,827.2713998682099,212.07075462000589,19.23368270743091,2.3183032660008815,0.04622710036297298,0.43,0.8165680473372781,0.5,0.582189349112426,13.621025085449219,587.3273083202872,6335.8427734375,9.557587550471874,109514298,11458362
original,0.0,475.68295669555664,none,roberta-base,original,584.3320767853938,354.56753917938227,16.969843849102215,5.135985256442998,0.05409290202431646,0.84,0.8592592592592593,0.66,0.7864197530864198,13.678689002990723,584.8513697658359,7219.775390625,1.0000128472619105,124697433,124695831
pruned,0.1,475.68295669555664,magnitude,roberta-base,magnitude_0.1,614.8606437222336,331.5077744435059,17.73338832564796,5.082045851121179,0.05267558271895875,0.87,0.75,0.5,0.7066666666666667,14.019865989685059,570.6188636814289,7216.525390625,1.1295037284172937,124697433,110400196
pruned,0.3,475.68295669555664,magnitude,roberta-base,magnitude_0.3,843.3690093000189,299.8007625282848,21.56409888790226,3.9661353648560635,0.04698002464947676,0.535,0.6491228070175439,0.5,0.561374269005848,14.745750427246094,542.5291876104317,7216.8662109375,1.5154692981232294,124697433,82283048
pruned,0.5,475.68295669555664,magnitude,roberta-base,magnitude_0.5,872.2214633245746,230.92408109909493,22.309790550952837,1.6852396578578845,0.04445870871116739,0.535,0.8165680473372781,0.5,0.617189349112426,14.391865730285645,555.8695550615881,7216.275390625,2.2647640912681304,124697433,55059789
pruned,0.7,475.68295669555664,magnitude,roberta-base,magnitude_0.7,952.7974597981431,234.61343063899048,22.299922108952902,2.282028791273089,0.04735300848439458,0.535,0.8165680473372781,0.5,0.617189349112426,13.902778625488281,575.4245403385347,7216.8662109375,4.190069673186991,124697433,29760229
pruned,0.9,475.68295669555664,magnitude,roberta-base,magnitude_0.9,1063.4700989045307,316.7476437883237,23.213329015551945,2.7345421255591043,0.044879412185863755,0.535,0.8165680473372781,0.5,0.617189349112426,14.249005317687988,561.442698745379,7216.046875,14.337186172137388,124697433,8697483
pruned,0.1,475.68295669555664,structured,roberta-base,structured_0.1,968.613001458421,348.1209462390007,25.54974272967047,2.5924541649501895,0.05406804934521468,0.535,0.8165680473372781,0.5,0.617189349112426,14.14675235748291,565.5008158652334,7217.025390625,1.1106887942518615,124697433,112270362
pruned,0.3,475.68295669555664,structured,roberta-base,structured_0.3,959.6852189772583,347.1512256415649,26.208586170239855,4.297457299722937,0.05324685920746469,0.535,0.8165680473372781,0.5,0.617189349112426,13.946094512939453,573.6372998603621,7217.0361328125,1.4253875690865685,124697433,87483177
pruned,0.5,475.68295669555664,structured,roberta-base,structured_0.5,752.1133941244406,284.8212230049944,20.611193380670002,2.1682927436071053,0.05781000669627826,0.535,0.8165680473372781,0.5,0.617189349112426,14.42331314086914,554.6575826140543,7217.025390625,1.9909462768091144,124697433,62632244
pruned,0.7,475.68295669555664,structured,roberta-base,structured_0.7,951.7888806799923,343.83695706719703,25.01763774534963,4.938265531169884,0.05290656522638734,0.535,0.8165680473372781,0.5,0.617189349112426,14.51681137084961,551.08520704928,7217.7861328125,3.3006398185103056,124697433,37779776
pruned,0.9,475.68295669555664,structured,roberta-base,structured_0.9,774.6993091563927,324.8762786136563,23.385318922959204,4.747387842084924,0.055018656464146415,0.535,0.8165680473372781,0.5,0.617189349112426,14.247488975524902,561.502452379,7216.8662109375,9.596450040753044,124697433,12994121
original,0.0,255.5295181274414,none,distilbert-base-uncased,original,823.1100228112621,247.8077895223799,19.066557164915807,1.9566856961672603,0.05312738172935418,0.855,0.8350877192982457,0.535,0.7416959064327485,8.140134811401367,982.7847063165233,3896.1728515625,1.0,66985530,66985530
pruned,0.1,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.1,836.4301976551781,262.89623789674175,18.16697322788788,1.368679287904617,0.051727034703256715,0.825,0.8512110726643599,0.545,0.7404036908881199,8.174538612365723,978.6485059717381,3895.7431640625,1.122414385141707,66985530,59679857
pruned,0.3,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.3,935.8976763502002,244.4975027954461,18.60281878092027,1.7300304386136036,0.045625587446033976,0.77,0.7840531561461794,0.505,0.6863510520487265,7.924981117248535,1009.4661276338171,3897.7666015625,1.480847183350798,66985530,45234600
pruned,0.5,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.5,934.5199436825447,235.39365608295546,20.27284690876313,1.7131306597915783,0.051354398931377165,0.725,0.7759197324414716,0.515,0.6719732441471572,8.013019561767578,998.375199053588,3898.4228515625,2.1437316451330846,66985530,31247162
pruned,0.7,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.7,1012.8222057621684,243.8504646483967,19.869117459676577,2.410544862266083,0.038560028770932814,0.675,0.7615658362989324,0.465,0.6338552787663109,7.995810508728027,1000.5239608001465,3896.5263671875,3.7303853507419946,66985530,17956732
pruned,0.9,255.5295181274414,magnitude,distilbert-base-uncased,magnitude_0.9,877.9643191188237,265.52266480443274,19.666711532041152,2.6370142396236202,0.04878731995923716,0.62,0.7578947368421053,0.5,0.6259649122807017,7.9436492919921875,1007.093806125683,3899.2529296875,11.809286078463037,66985530,5672276
pruned,0.1,255.5295181274414,structured,distilbert-base-uncased,structured_0.1,919.4615889022451,246.6761994761675,20.418183271834543,2.5778450411372678,0.04492495509950938,0.545,0.7508305647840532,0.5,0.5986101882613512,8.416199684143066,950.5477888164623,3899.5263671875,1.1103321084221898,66985530,60329274
pruned,0.3,255.5295181274414,structured,distilbert-base-uncased,structured_0.3,878.3915346527352,239.6702139573498,22.191242712089814,2.4494910649547315,0.05013193935290126,0.565,0.7728813559322034,0.5,0.6126271186440678,8.435487747192383,948.3743252027924,3902.7431640625,1.4237391734722284,66985530,47049018
pruned,0.5,255.5295181274414,structured,distilbert-base-uncased,structured_0.5,1004.7142394326802,248.85661331979642,20.762224201657244,2.6569830420494385,0.047442866362994024,0.5,0.7491638795986622,0.5,0.5830546265328874,7.6689958572387695,1043.161340666105,3899.7763671875,1.9855503115823554,66985530,33736506
pruned,0.7,255.5295181274414,structured,distilbert-base-uncased,structured_0.7,1014.7995281290465,256.96693215433623,21.45102671116688,2.3728341579011842,0.05062406390184952,0.47,0.7208480565371025,0.5,0.5636160188457008,8.41738224029541,950.4142465697552,3901.4228515625,3.279746850689439,66985530,20423994
pruned,0.9,255.5295181274414,structured,distilbert-base-uncased,structured_0.9,920.8963467574379,242.1540076312002,19.675006718512677,2.2485594689473984,0.042563910220993185,0.425,0.8165680473372781,0.5,0.5805226824457593,7.688207626342773,1040.554624538092,3901.7666015625,9.376817850822636,66985530,7143738
